price,model,energy,gear_box,kilometers,year,zip_code,cylinder,horsepower,origin,firstCirculationDate,technicalControl,firstHand,owners,externalColor,internalColor,doors,seats,length,trunkVolumeRange,ratedHorsePower,pollutionNorm,critAir,co2,picture,page,brand,brand_origin,model_ecoded,externalColor_ecoded,internalColor_ecoded,brand_ecoded,brand_origin_ecoded,energy_ecoded,gear_box_ecoded,origin_ecoded,technicalControl_ecoded,firstHand_ecoded,trunkVolumeRange_ecoded,pollutionNorm_ecoded,co2_ecoded
88790.0,AUDI Q7 II phase 2,Hybrides,Automatique,136956.0,2021,1,3.0,462.0,France,22/12/2020,Non requis,Oui,0.0,Gris,Noir,5.0,5.0,5.06,Grand coffre,22,EURO6,1,A,https://image-annonce.lacentrale.fr/480x369/E112287095_STANDARD_0.jpg?version=1683885862,1,AUDI,Allemagne,70.0,278.0,112.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
17760.0,PEUGEOT 5008 II,Diesel,Manuelle,119783.0,2018,91,1.6,120.0,France,23/01/2019,Requis,Non,2.0,gris titanium,gris,5.0,7.0,4.53,Grand coffre,6,EURO6,2,B,https://image-annonce.lacentrale.fr/480x369/E112287161_STANDARD_0.jpg?version=1683883257,1,PEUGEOT,France,622.0,697.0,209.0,33.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0
14860.0,NISSAN JUKE,Essence,Automatique,92706.0,2015,77,1.6,117.0,France,17/06/2015,Requis,Non,3.0,blanc,Autres,5.0,5.0,4.14,Petit coffre,7,EURO5,1,D,https://image-annonce.lacentrale.fr/480x369/E112286383_STANDARD_0.jpg?version=1683877532,2,NISSAN,Japon,537.0,644.0,33.0,31.0,6.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0
31230.0,LAND ROVER RANGE ROVER EVOQUE phase 2,Diesel,Automatique,133223.0,2017,92,2.0,150.0,France,03/07/2017,Requis,Oui,0.0,noir,gris,5.0,5.0,4.36,Moyen Coffre,8,EURO6,2,C,https://image-annonce.lacentrale.fr/480x369/E112287376_STANDARD_0.jpg?version=1683882439,2,LAND,Royaume-Uni,391.0,712.0,209.0,20.0,8.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,2.0
22480.0,MINI III CABRIOLET,Essence,Automatique,63244.0,2018,91,1.5,136.0,France,09/05/2018,Requis,Non,2.0,noir,noir,2.0,4.0,3.82,Moyen Coffre,7,EURO6,1,C,https://image-annonce.lacentrale.fr/480x369/E112287154_STANDARD_0.jpg?version=1683881537,2,MINI,Royaume-Uni,511.0,712.0,212.0,29.0,8.0,2.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0
20130.0,VOLKSWAGEN POLO VI,Essence,Manuelle,40566.0,2021,1,1.0,95.0,France,09/10/2021,Non requis,Oui,0.0,Blanc,Noir,5.0,5.0,4.05,Grand coffre,5,EURO6,1,C,https://image-annonce.lacentrale.fr/480x369/E112286873_STANDARD_0.jpg?version=1683879496,2,VOLKSWAGEN,Allemagne,874.0,89.0,112.0,45.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0
26440.0,AUDI Q2,Essence,Manuelle,72900.0,2019,1,1.4,150.0,France,12/09/2019,Non requis,Non,3.0,Noir,Noir,5.0,5.0,4.19,Moyen Coffre,8,EURO6,1,C,https://image-annonce.lacentrale.fr/480x369/E112287107_STANDARD_0.jpg?version=1683882247,2,AUDI,Allemagne,57.0,442.0,112.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0
19870.0,TOYOTA AURIS II phase 2,Hybrides,Automatique,73839.0,2019,91,1.8,136.0,France,28/04/2019,Requis,Non,2.0,blanc,gris,5.0,5.0,4.33,Moyen Coffre,5,EURO6,1,A,https://image-annonce.lacentrale.fr/480x369/E112287149_STANDARD_0.jpg?version=1683880068,2,TOYOTA,Japon,807.0,644.0,209.0,44.0,6.0,3.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0
21070.0,PEUGEOT 308 II phase 2,Diesel,Automatique,110889.0,2019,24,2.0,180.0,France,08/11/2019,Non requis,Non,2.0,noir,Autres,5.0,5.0,4.25,Grand coffre,9,EURO6,2,B,https://image-annonce.lacentrale.fr/480x369/E112285850_STANDARD_0.jpg?version=1683880639,2,PEUGEOT,France,614.0,712.0,33.0,33.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
19510.0,RENAULT MEGANE IV ESTATE phase 2,Diesel,Manuelle,36825.0,2021,91,1.5,115.0,France,28/09/2021,Non requis,Non,3.0,gris titanium,noir,5.0,5.0,4.63,Moyen Coffre,6,EURO6,2,B,https://image-annonce.lacentrale.fr/480x369/E112287150_STANDARD_0.jpg?version=1683877185,2,RENAULT,France,718.0,697.0,212.0,35.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0
88790.0,AUDI Q7 II phase 2,Hybrides,Automatique,136956.0,2021,1,3.0,462.0,France,23/04/2021,Non requis,Oui,0.0,Gris,Noir,5.0,5.0,5.06,Grand coffre,22,EURO6,1,A,https://image-annonce.lacentrale.fr/480x369/E112287095_STANDARD_0.jpg?version=1683885862,2,AUDI,Allemagne,70.0,278.0,112.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
14310.0,PEUGEOT 2008 phase 2,Essence,Automatique,100873.0,2017,91,1.2,110.0,France,01/01/2018,Requis,Non,2.0,rouge,Autres,5.0,5.0,4.16,Moyen Coffre,6,EURO6,1,B,https://image-annonce.lacentrale.fr/480x369/E112287152_STANDARD_0.jpg?version=1683889363,2,PEUGEOT,France,588.0,730.0,33.0,33.0,4.0,2.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0
47710.0,AUDI Q3 II SPORTBACK,Diesel,Automatique,84367.0,2022,76,2.0,150.0,France,09/08/2022,Non requis,Oui,0.0,Gris,Gris,5.0,5.0,4.5,Moyen Coffre,8,EURO6,2,D,https://image-annonce.lacentrale.fr/480x369/E112287971_STANDARD_0.jpg?version=1683885386,2,AUDI,Allemagne,61.0,278.0,79.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0
21080.0,AUDI A1 phase 2,Essence,Automatique,54060.0,2017,1,1.4,125.0,France,11/04/2017,Requis,Non,3.0,Noir,Noir,3.0,4.0,3.97,Grand coffre,6,EURO6,1,B,https://image-annonce.lacentrale.fr/480x369/E112287105_STANDARD_0.jpg?version=1683877953,2,AUDI,Allemagne,15.0,442.0,112.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0
69520.0,AUDI Q5 II phase 2,Diesel,Automatique,7921.0,2023,31,2.0,163.0,France,21/03/2023,Non requis,Oui,0.0,gris,Autres,5.0,5.0,4.68,Moyen Coffre,9,EURO6,2,D,https://image-annonce.lacentrale.fr/480x369/E112285861_STANDARD_0.jpg?version=1683880416,2,AUDI,Allemagne,67.0,670.0,33.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0
36030.0,VOLKSWAGEN T-ROC,Essence,Automatique,23754.0,2021,1,2.0,190.0,France,20/10/2021,Non requis,Oui,0.0,Blanc,Noir,5.0,5.0,4.23,Moyen Coffre,10,EURO6,1,E,https://image-annonce.lacentrale.fr/480x369/E112286875_STANDARD_0.jpg?version=1683887877,2,VOLKSWAGEN,Allemagne,882.0,89.0,112.0,45.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0
106080.0,AUDI RS Q3 II SPORTBACK,Essence,Automatique,39530.0,2022,1,2.5,400.0,France,12/07/2022,Non requis,Non,2.0,Gris,Noir,5.0,5.0,4.51,Moyen Coffre,28,EURO6,1,F,https://image-annonce.lacentrale.fr/480x369/E112287096_STANDARD_0.jpg?version=1683893753,2,AUDI,Allemagne,74.0,278.0,112.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0
31570.0,RENAULT ARKANA,Hybrides,Automatique,67280.0,2022,95,1.6,145.0,France,06/12/2022,Non requis,Non,2.0,noir metal,tissu gris,5.0,5.0,4.57,Moyen Coffre,5,EURO6,1,B,https://image-annonce.lacentrale.fr/480x369/W102662858_STANDARD_0.jpg?version=1683879923,3,RENAULT,France,667.0,716.0,224.0,35.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0
24580.0,LEXUS CT phase 3,Hybrides,Automatique,93849.0,2019,95,1.8,200.0,France,03/06/2019,Non requis,Non,2.0,bleu metal,cuir blanc,5.0,5.0,4.35,Grand coffre,5,EURO6,1,A,https://image-annonce.lacentrale.fr/480x369/W102663431_STANDARD_0.jpg?version=1683901166,3,LEXUS,Japon,400.0,663.0,190.0,21.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
18470.0,RENAULT CLIO V,Diesel,Manuelle,43388.0,2021,18,1.5,85.0,France,30/05/2021,Non requis,Oui,0.0,platine,Autres,5.0,5.0,4.05,Grand coffre,4,EURO6,2,B,https://image-annonce.lacentrale.fr/480x369/E112290840_STANDARD_0.jpg?version=1683901739,3,RENAULT,France,686.0,729.0,33.0,35.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0
18080.0,RENAULT KADJAR phase 2,Diesel,Manuelle,81487.0,2021,18,1.5,115.0,France,09/06/2021,Non requis,Oui,0.0,gris titanium,noir,5.0,5.0,4.45,Moyen Coffre,6,EURO6,2,B,https://image-annonce.lacentrale.fr/480x369/E112290844_STANDARD_0.jpg?version=1683901940,3,RENAULT,France,696.0,697.0,212.0,35.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0
16980.0,RENAULT GRAND SCENIC IV,Diesel,Automatique,95959.0,2018,91,1.5,110.0,France,05/08/2018,Requis,Oui,0.0,gris,noir,5.0,7.0,4.64,Moyen Coffre,5,EURO6,2,B,https://image-annonce.lacentrale.fr/480x369/E112287155_STANDARD_0.jpg?version=1683882700,3,RENAULT,France,694.0,670.0,212.0,35.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0
21930.0,PORSCHE CAYENNE phase 2,Essence,Automatique,129045.0,2009,69,3.6,290.0,France,25/02/2009,Requis,Non,0.0,noir metal,cuir beige,5.0,5.0,4.8,Moyen Coffre,21,EURO4,2,G,https://image-annonce.lacentrale.fr/480x369/W102663392_STANDARD_0.jpg?version=1683900170,3,PORSCHE,Allemagne,656.0,716.0,189.0,34.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,6.0
19430.0,RENAULT KADJAR phase 2,Diesel,Automatique,98724.0,2021,91,1.5,115.0,France,29/06/2021,Non requis,Oui,0.0,gris,noir,5.0,5.0,4.45,Moyen Coffre,6,EURO6,2,C,https://image-annonce.lacentrale.fr/480x369/E112287156_STANDARD_0.jpg?version=1683881536,3,RENAULT,France,696.0,670.0,212.0,35.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0
15010.0,RENAULT CLIO V,Diesel,Manuelle,54757.0,2021,18,1.5,85.0,France,02/04/2021,Non requis,Oui,0.0,platine,Autres,5.0,5.0,4.05,Grand coffre,4,EURO6,2,B,https://image-annonce.lacentrale.fr/480x369/E112290845_STANDARD_0.jpg?version=1683901739,3,RENAULT,France,686.0,729.0,33.0,35.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0
20130.0,VOLKSWAGEN POLO VI,Essence,Manuelle,40566.0,2021,1,1.0,95.0,France,09/10/2021,Non requis,Oui,0.0,Blanc,Noir,5.0,5.0,4.05,Grand coffre,5,EURO6,1,C,https://image-annonce.lacentrale.fr/480x369/E112286873_STANDARD_0.jpg?version=1683879496,4,VOLKSWAGEN,Allemagne,874.0,89.0,112.0,45.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0
32380.0,RENAULT SCENIC IV,Essence,Automatique,29720.0,2023,95,1.3,140.0,France,23/08/2023,Non requis,Non,1.0,blanc nacre,cuir/tissu gris,5.0,5.0,4.41,Moyen Coffre,7,EURO6,1,D,https://image-annonce.lacentrale.fr/480x369/W102662945_STANDARD_0.jpg?version=1683884010,4,RENAULT,France,727.0,648.0,201.0,35.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0
21430.0,VOLKSWAGEN TIGUAN,Essence,Automatique,134228.0,2013,92,2.0,200.0,France,03/05/2013,Requis,Non,0.0,noir,noir,5.0,5.0,4.43,Moyen Coffre,12,EURO5,1,E,https://image-annonce.lacentrale.fr/480x369/E112290280_STANDARD_0.jpg?version=1683886692,4,VOLKSWAGEN,Allemagne,887.0,712.0,212.0,45.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0
47710.0,AUDI Q3 II SPORTBACK,Diesel,Automatique,84367.0,2022,76,2.0,150.0,France,09/08/2022,Non requis,Oui,0.0,Gris,Gris,5.0,5.0,4.5,Moyen Coffre,8,EURO6,2,D,https://image-annonce.lacentrale.fr/480x369/E112287971_STANDARD_0.jpg?version=1683885386,4,AUDI,Allemagne,61.0,278.0,79.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0
29930.0,SEAT ATECA phase 2,Diesel,Manuelle,62017.0,2022,33,2.0,150.0,France,06/04/2022,Non requis,Non,0.0,argent,gris,5.0,5.0,4.38,Moyen Coffre,8,EURO6,2,C,https://image-annonce.lacentrale.fr/480x369/E112290283_STANDARD_0.jpg?version=1683886691,4,SEAT,Espagne,746.0,636.0,209.0,37.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0
32590.0,VOLKSWAGEN T-ROC,Essence,Automatique,52820.0,2022,33,1.5,150.0,France,31/07/2022,Non requis,Non,0.0,argent,gris,5.0,5.0,4.23,Moyen Coffre,8,EURO6,1,D,https://image-annonce.lacentrale.fr/480x369/E112290273_STANDARD_0.jpg?version=1683886692,4,VOLKSWAGEN,Allemagne,882.0,636.0,209.0,45.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0
33110.0,SEAT ATECA phase 2,Diesel,Manuelle,63151.0,2022,33,2.0,150.0,France,25/06/2022,Non requis,Non,0.0,noir,gris,5.0,5.0,4.38,Moyen Coffre,8,EURO6,2,C,https://image-annonce.lacentrale.fr/480x369/E112290274_STANDARD_0.jpg?version=1683886692,4,SEAT,Espagne,746.0,712.0,209.0,37.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0
58740.0,BMW SERIE 5 G30 phase 2,Hybrides,Automatique,43864.0,2021,68,2.0,530.0,France,09/11/2021,Non requis,Non,2.0,gris,beige,4.0,5.0,4.96,Moyen Coffre,10,EURO6,1,A,https://image-annonce.lacentrale.fr/480x369/E112290241_STANDARD_0.jpg?version=1683897370,4,BMW,Allemagne,138.0,670.0,185.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0
19870.0,TOYOTA AURIS II phase 2,Hybrides,Automatique,73839.0,2019,91,1.8,136.0,France,25/06/2018,Requis,Non,2.0,blanc,gris,5.0,5.0,4.33,Moyen Coffre,5,EURO6,1,A,https://image-annonce.lacentrale.fr/480x369/E112287149_STANDARD_0.jpg?version=1683880068,4,TOYOTA,Japon,807.0,644.0,209.0,44.0,6.0,3.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0
12150.0,PEUGEOT 2008 phase 2,Diesel,Manuelle,132054.0,2017,77,1.6,100.0,France,29/11/2016,Requis,Non,2.0,blanc,Autres,5.0,5.0,4.16,Moyen Coffre,5,EURO6,2,A,https://image-annonce.lacentrale.fr/480x369/E112290371_STANDARD_0.jpg?version=1683886908,4,PEUGEOT,France,588.0,644.0,33.0,33.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0
29660.0,VOLVO XC60 phase 2,Diesel,Automatique,83824.0,2018,84,2.4,190.0,France,01/06/2017,Requis,Non,2.0,blanc,noir,5.0,5.0,4.64,Moyen Coffre,11,EURO6,2,D,https://image-annonce.lacentrale.fr/480x369/E112290381_STANDARD_0.jpg?version=1683888813,4,VOLVO,Suède,912.0,644.0,212.0,46.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0
13060.0,CITROEN C3 III,Essence,Manuelle,68757.0,2020,24,1.2,68.0,France,14/02/2019,Requis,Oui,0.0,vert,Autres,5.0,5.0,4.0,Grand coffre,4,EURO6,1,B,https://image-annonce.lacentrale.fr/480x369/E112290090_STANDARD_0.jpg?version=1683886745,4,CITROEN,France,185.0,739.0,33.0,7.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0
17860.0,RENAULT CAPTUR phase 2,Essence,Manuelle,59068.0,2020,24,0.9,90.0,France,02/04/2020,Non requis,Oui,0.0,gris clair,Autres,5.0,5.0,4.12,Moyen Coffre,5,EURO6,1,C,https://image-annonce.lacentrale.fr/480x369/E112290101_STANDARD_0.jpg?version=1683886280,4,RENAULT,France,671.0,679.0,33.0,35.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,4.0,2.0
17740.0,CITROEN GRAND C4 PICASSO II,Diesel,Manuelle,99015.0,2017,24,1.6,120.0,France,15/05/2017,Requis,Oui,0.0,gris,Autres,5.0,7.0,4.6,Petit coffre,6,EURO6,2,A,https://image-annonce.lacentrale.fr/480x369/E112290092_STANDARD_0.jpg?version=1683895109,4,CITROEN,France,212.0,670.0,33.0,7.0,4.0,1.0,1.0,0.0,1.0,1.0,2.0,4.0,0.0
16720.0,PEUGEOT 308 II phase 2,Essence,Manuelle,134143.0,2019,95,1.2,110.0,France,31/01/2020,Non requis,Non,1.0,gris metal,tissu gris,5.0,5.0,4.25,Grand coffre,6,EURO6,1,B,https://image-annonce.lacentrale.fr/480x369/W102663432_STANDARD_0.jpg?version=1683900218,5,PEUGEOT,France,614.0,688.0,224.0,33.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0
14960.0,MERCEDES CLASSE B II,Diesel,Manuelle,69698.0,2013,95,1.5,180.0,France,02/08/2013,Requis,Non,3.0,gris anthracite metal,cuir/tissu gris,5.0,5.0,4.36,Moyen Coffre,6,EURO5,2,B,https://image-annonce.lacentrale.fr/480x369/W102663394_STANDARD_0.jpg?version=1683900171,5,MERCEDES,Allemagne,437.0,675.0,201.0,25.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0
35310.0,PEUGEOT 5008 II,Essence,Automatique,91183.0,2018,33,1.6,165.0,France,27/10/2018,Requis,Non,2.0,gris foncé,cuir,5.0,7.0,4.64,Grand coffre,9,EURO6,1,C,https://image-annonce.lacentrale.fr/480x369/E112290095_STANDARD_0.jpg?version=1683889364,5,PEUGEOT,France,622.0,682.0,188.0,33.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0
43620.0,VOLKSWAGEN TIGUAN II phase 2,Diesel,Automatique,51053.0,2022,76,2.0,150.0,France,05/07/2022,Non requis,Oui,0.0,Gris,Noir,5.0,5.0,4.51,Moyen Coffre,8,EURO6,2,D,https://image-annonce.lacentrale.fr/480x369/E112290484_STANDARD_0.jpg?version=1683897490,5,VOLKSWAGEN,Allemagne,890.0,278.0,112.0,45.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0
13180.0,FORD FOCUS III phase 2,Diesel,Automatique,171265.0,2018,7,1.5,120.0,France,04/12/2018,Requis,Non,2.0,NOIR,Autres,5.0,5.0,4.36,Moyen Coffre,6,EURO6,2,A,https://image-annonce.lacentrale.fr/480x369/E112290437_STANDARD_0.jpg?version=1683896911,5,FORD,États-Unis,286.0,427.0,33.0,13.0,11.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0
