price,model,energy,gear_box,kilometers,year,zip_code,cylinder,horsepower,picture,origin,firstCirculationDate,technicalControl,firstHand,owners,externalColor,internalColor,doors,seats,length,trunkVolumeRange,ratedHorsePower,pollutionNorm,critAir,co2,page
25 180 €,VOLVO V40 II phase 2,Essence,Manuelle,32 762 km,2020,06 ‌,2,122,https://image-annonce.lacentrale.fr/480x369/E112288879_STANDARD_0.jpg?version=1683898707,France,30/10/2020,Non requis,Non,,Bleu denim metallise,,5,5,4,37 m,Moyen Coffre,7 CV,EURO6,1,C,47
72 440 €,MERCEDES GLC phase 2,Diesel,Automatique,62 796 km,2021,91 ‌,2,300,https://image-annonce.lacentrale.fr/480x369/E112288719_STANDARD_0.jpg?version=1683895942,France,12/01/2022,Non requis,Non,,149 BLANC POLAIRE,cuir noir,5,5,4,67 m,Moyen Coffre,14 CV,EURO6,2,D,47
78 780 €,DS 7,Hybrides,Automatique,2 776 km,2024,84 ‌,1.6,360,https://image-annonce.lacentrale.fr/480x369/E112288872_STANDARD_0.jpg?version=1683888772,France,25/03/2024,Non requis,Oui,,Gris Platinium (M),,5,5,4,59 m,Moyen Coffre,11 CV,EURO6,1,A,47
23 940 €,PEUGEOT 2008 II,Essence,Manuelle,25 236 km,2021,34 ‌,1.2,130,https://image-annonce.lacentrale.fr/480x369/E112288873_STANDARD_0.jpg?version=1683897830,France,22/11/2021,Non requis,Oui,,Gris,Noir,5,5,4,30 m,Moyen Coffre,7 CV,EURO6,1,C,47
19 500 €,PEUGEOT 308 II phase 2,Diesel,Automatique,114 735 km,2021,84 ‌,1.5,130,https://image-annonce.lacentrale.fr/480x369/E112288949_STANDARD_0.jpg?version=1683897829,France,07/06/2021,Non requis,Oui,,Gris,A DEFINIR,5,5,4,25 m,Grand coffre,6 CV,EURO6,2,C,47
23 750 €,PEUGEOT 2008 II,Essence,Manuelle,55 000 km,2021,67 ‌,1.2,130,https://image-annonce.lacentrale.fr/480x369/E112287318_STANDARD_0.jpg?version=1683877530,France,10/06/2021,Non requis,Non,,Orange claire,,5,5,4,30 m,Moyen Coffre,7 CV,EURO6,1,C,48
23 670 €,PEUGEOT 208 II,Diesel,Manuelle,12 km,2023,53 ‌,1.5,100,https://image-annonce.lacentrale.fr/480x369/E112288333_STANDARD_0.jpg?version=1683896909,France,01/06/2023,Non requis,Non,,BLANC BANQUISE,,5,5,4,05 m,Moyen Coffre,5 CV,EURO6,2,B,48
19 030 €,FIAT 500 X phase 2,Diesel,Manuelle,78 117 km,2020,19 ‌,1.3,95,https://image-annonce.lacentrale.fr/480x369/E112289774_STANDARD_0.jpg?version=1683879518,France,23/12/2020,Non requis,Oui,,gris,gris,5,5,4,27 m,Petit coffre,5 CV,EURO6,2,B,48
31 570 €,MINI III CABRIOLET,Essence,Automatique,57 013 km,2018,24 ‌,2,192,https://image-annonce.lacentrale.fr/480x369/E112289406_STANDARD_0.jpg?version=1683900666,France,23/01/2019,Requis,Oui,,Bleu,Noir,2,4,3,85 m,,10 CV,EURO6,1,C,48
112 930 €,LAND ROVER RANGE ROVER IV phase 2,Hybrides,Automatique,96 390 km,2022,75 ‌,2,404,https://image-annonce.lacentrale.fr/480x369/E112287140_STANDARD_0.jpg?version=1683876753,France,10/10/2022,Non requis,Oui,,Carpathian Grey,,5,5,5 m,Moyen Coffre,19 CV,EURO6,1,,48
18 910 €,DACIA SANDERO III,Essence,Automatique,9 843 km,2023,01 ‌,1,91,https://image-annonce.lacentrale.fr/480x369/E112289926_STANDARD_0.jpg?version=1683889053,France,13/05/2023,Non requis,Non,,Blanc,,5,5,4,09 m,Grand coffre,5 CV,EURO6,1,C,48
20 700 €,RENAULT MASTER III,Diesel,Manuelle,163 744 km,2020,17 ‌,2.3,130,https://image-annonce.lacentrale.fr/480x369/W102662791_STANDARD_0.jpg?version=1683876107,France,25/08/2020,Non requis,Oui,,blanc metal,tissu noir,4,3,5,55 m,,8 CV,EURO6,2,F,48
35 500 €,PEUGEOT 5008 II phase 2,Diesel,Manuelle,15 109 km,2023,76 ‌,1.5,130,https://image-annonce.lacentrale.fr/480x369/E112287237_STANDARD_0.jpg?version=1683886258,France,12/04/2023,Non requis,Non,,gris,,5,7,4,64 m,,7 CV,EURO6,2,C,48
50 680 €,PORSCHE CAYENNE II phase 2,Hybrides,Automatique,126 440 km,2017,75 ‌,3,416,https://image-annonce.lacentrale.fr/480x369/E112287151_STANDARD_0.jpg?version=1683900196,France,28/09/2017,Requis,Non,,Gris Météor,,5,5,4,86 m,Moyen Coffre,20 CV,EURO6,1,A,48
23 300 €,PEUGEOT 308 II phase 2,Essence,Manuelle,20 191 km,2021,76 ‌,1.2,130,https://image-annonce.lacentrale.fr/480x369/E112287236_STANDARD_0.jpg?version=1683901273,France,05/10/2021,Non requis,Non,2,gris,,5,5,4,25 m,Grand coffre,6 CV,EURO6,1,C,48
21 580 €,FIAT 500 C II phase 2,Essence,Manuelle,5 454 km,2022,06 ‌,1,70,https://image-annonce.lacentrale.fr/480x369/W102662787_STANDARD_0.jpg?version=1683876803,France,07/08/2022,Non requis,Non,3,vert foncé mat,cuir blanc,3,4,3,61 m,,4 CV,EURO6,1,B,48
43 350 €,VOLVO V60 phase 2,Essence,Automatique,86 275 km,2020,67 ‌,2,306,https://image-annonce.lacentrale.fr/480x369/W102662798_STANDARD_0.jpg?version=1683877795,Importé,10/03/2020,Non requis,Oui,,blanc metal,cuir/tissu beige,5,5,4,63 m,Moyen Coffre,19 CV,EURO6,1,E,48
19 060 €,PEUGEOT 4008,Diesel,Manuelle,99 318 km,2018,31 ‌,1.6,115,https://image-annonce.lacentrale.fr/480x369/E112289755_STANDARD_0.jpg?version=1683879495,France,04/08/2018,Requis,Non,2,noir,cuir,5,5,4,34 m,Moyen Coffre,6 CV,EURO6,2,C,48
28 740 €,CITROEN C3 AIRCROSS phase 2,Diesel,Manuelle,5 063 km,2023,42 ‌,1.5,110,https://image-annonce.lacentrale.fr/480x369/E112287164_STANDARD_0.jpg?version=1683880935,France,19/03/2023,Non requis,Oui,,Noir Perla,,5,5,4,16 m,Moyen Coffre,6 CV,EURO6,2,C,48
25 360 €,AUDI A4 V AVANT,Diesel,Automatique,87 675 km,2019,14 ‌,2,150,https://image-annonce.lacentrale.fr/480x369/E112287129_STANDARD_0.jpg?version=1683885799,France,13/08/2019,Non requis,Non,,GRIS C,NOIR,5,5,4,72 m,Grand coffre,7 CV,EURO6,2,B,48
19 820 €,PEUGEOT 2008 phase 2,Essence,Manuelle,62 883 km,2019,76 ‌,1.2,110,https://image-annonce.lacentrale.fr/480x369/E112287229_STANDARD_0.jpg?version=1683883164,France,02/05/2019,Requis,Non,2,noir,,5,5,4,16 m,Moyen Coffre,5 CV,EURO6,1,B,48
27 230 €,PEUGEOT 2008 II,Diesel,Automatique,70 765 km,2021,95 ‌,1.5,130,https://image-annonce.lacentrale.fr/480x369/E112286633_STANDARD_0.jpg?version=1683890683,France,30/06/2021,Non requis,Oui,,rouge,,5,5,4,16 m,Moyen Coffre,6 CV,EURO6,2,A,49
44 750 €,PEUGEOT 3008 II phase 2,Diesel,Automatique,12 km,2023,44 ‌,1.5,130,https://image-annonce.lacentrale.fr/480x369/E112286764_STANDARD_0.jpg?version=1683885386,France,08/03/2023,Non requis,Oui,,rouge,,5,5,4,45 m,Moyen Coffre,7 CV,EURO6,2,C,49
17 800 €,BMW I3,Électrique,Automatique,81 692 km,2016,72 ‌,22,170,https://image-annonce.lacentrale.fr/480x369/E112286394_STANDARD_0.jpg?version=1683887521,France,26/06/2016,Requis,Non,4,noir,,5,4,4 m,Moyen Coffre,3 CV,EURO5,0,A,49
45 860 €,BMW SERIE 1 F40,Diesel,Automatique,38 539 km,2023,77 ‌,2,150,https://image-annonce.lacentrale.fr/480x369/E112286746_STANDARD_0.jpg?version=1683897782,France,28/08/2023,Non requis,Non,,Skyscraper Grey,,5,5,4,32 m,Grand coffre,8 CV,EURO6,2,C,49
36 510 €,MINI COUNTRYMAN II phase 2,Essence,Automatique,44 915 km,2022,41 ‌,1.5,136,https://image-annonce.lacentrale.fr/480x369/E112288267_STANDARD_0.jpg?version=1683879495,France,20/06/2022,Non requis,Oui,,Sage Green Metallic,,5,5,4,30 m,Moyen Coffre,7 CV,EURO6,1,D,49
32 040 €,FIAT 500 C III,Électrique,Automatique,39 278 km,2022,69 ‌,118,118,https://image-annonce.lacentrale.fr/480x369/E112286298_STANDARD_1.jpg?version=1683897490,France,07/02/2022,Non requis,Oui,,gris,,3,4,3,63 m,Petit coffre,3 CV,EURO6,0,A,49
49 180 €,BMW SERIE 1 F40,Essence,Automatique,6 501 km,2022,77 ‌,2,178,https://image-annonce.lacentrale.fr/480x369/E112286745_STANDARD_0.jpg?version=1683881264,France,05/12/2022,Non requis,Non,,Misano Blau,,5,5,4,32 m,Grand coffre,9 CV,EURO6,1,C,49
22 780 €,TOYOTA AURIS II phase 2,Hybrides,Automatique,24 934 km,2019,33 ‌,1.8,136,https://image-annonce.lacentrale.fr/480x369/E112288359_STANDARD_0.jpg?version=1683882869,France,29/07/2019,Non requis,Non,,Gris Platine,,5,5,4,33 m,Moyen Coffre,5 CV,EURO6,1,A,49
21 280 €,PEUGEOT 208 II,Essence,Manuelle,30 411 km,2021,59 ‌,1.2,100,https://image-annonce.lacentrale.fr/480x369/E112286214_STANDARD_0.jpg?version=1683895343,France,14/06/2021,Non requis,Oui,,gris,,5,5,4,06 m,Grand coffre,5 CV,EURO6,1,A,49
17 640 €,AUDI A3 III SPORTBACK,Essence,Manuelle,84 530 km,2015,68 ‌,1.2,110,https://image-annonce.lacentrale.fr/480x369/E112287443_STANDARD_0.jpg?version=1683898075,France,19/07/2015,Requis,Non,4,blanc,cuir,5,5,4,31 m,Grand coffre,6 CV,EURO6,1,B,49
105 000 €,MERCEDES CLASSE G III AMG,Essence,Automatique,77 375 km,2016,57 ‌,5.5,571,https://image-annonce.lacentrale.fr/480x369/E112288210_STANDARD_0.jpg?version=1683882867,France,11/08/2016,Requis,Non,,Noir Obsidienne,,5,5,4,67 m,Moyen Coffre,47 CV,EURO5,1,G,49
17 650 €,PEUGEOT 508 RXH,,Automatique,128 361 km,2015,59 ‌,2,163,https://image-annonce.lacentrale.fr/480x369/E112286841_STANDARD_0.jpg?version=1683885387,France,27/12/2015,Requis,Oui,,blanc,cuir,5,5,4,83 m,Moyen Coffre,8 CV,EURO5,2,B,49
24 740 €,PEUGEOT 208 II,Essence,Automatique,21 834 km,2021,61 ‌,1.2,100,https://image-annonce.lacentrale.fr/480x369/E112288339_STANDARD_0.jpg?version=1683883255,France,21/08/2021,Non requis,Non,,Blanc Banquise,,5,5,4,05 m,Grand coffre,5 CV,EURO6,1,C,49
17 210 €,PEUGEOT 208 II,Diesel,Manuelle,122 511 km,2022,61 ‌,1.5,100,https://image-annonce.lacentrale.fr/480x369/E112286741_STANDARD_0.jpg?version=1683877530,France,09/10/2022,Non requis,Oui,,Blanc Banquise,,5,5,4,05 m,Grand coffre,5 CV,EURO6,2,B,49
28 680 €,BMW X1 F48,Diesel,Automatique,97 842 km,2018,15 ‌,2,150,https://image-annonce.lacentrale.fr/480x369/E112286847_STANDARD_0.jpg?version=1683895567,France,12/07/2018,Requis,Oui,,Noir,Noir,5,5,4,44 m,Moyen Coffre,8 CV,EURO6,2,B,49
22 560 €,FIAT 500 X phase 2,Essence,Manuelle,24 463 km,2022,59 ‌,1,120,https://image-annonce.lacentrale.fr/480x369/E112286223_STANDARD_0.jpg?version=1683883501,France,16/08/2022,Non requis,Oui,,noir,,5,5,4,26 m,Petit coffre,6 CV,EURO6,1,D,49
45 900 €,VOLKSWAGEN ID.3,Électrique,Automatique,7 694 km,2023,67 ‌,145,145,https://image-annonce.lacentrale.fr/480x369/E112288504_STANDARD_0.jpg?version=1683888086,France,20/10/2023,Non requis,Oui,,Blanc Glacier Métal/Toit/Hayon Noir,,5,5,4,26 m,Grand coffre,5 CV,EURO6,0,A,50
63 580 €,VOLKSWAGEN ID.4,Électrique,Automatique,7 824 km,2024,67 ‌,299,299,https://image-annonce.lacentrale.fr/480x369/E112288506_STANDARD_0.jpg?version=1683886057,France,17/02/2024,Non requis,Non,,Noir Ebène,,5,5,4,58 m,,5 CV,EURO6,0,A,50
43 840 €,VOLKSWAGEN ID.3,Électrique,Automatique,7 042 km,2023,67 ‌,145,145,https://image-annonce.lacentrale.fr/480x369/E112288515_STANDARD_0.jpg?version=1683893914,France,13/06/2023,Non requis,Non,,Rouge Roi Exclu/Toit/Hayon Noir,,5,5,4,26 m,Grand coffre,5 CV,EURO6,0,A,50
35 860 €,MERCEDES GLC,Diesel,Automatique,147 934 km,2019,72 ‌,2.1,250,https://image-annonce.lacentrale.fr/480x369/E112286721_STANDARD_0.jpg?version=1683899314,France,11/09/2019,Non requis,Non,,Noir obsidienne,,5,5,4,66 m,Moyen Coffre,11 CV,EURO6,2,C,50
31 740 €,MERCEDES CLASSE A IV,Diesel,Automatique,17 102 km,2021,59 ‌,1.5,180,https://image-annonce.lacentrale.fr/480x369/E112288609_STANDARD_0.jpg?version=1683897781,France,07/12/2021,Non requis,Non,,Rouge patagonie brillant,,5,5,4,42 m,Moyen Coffre,6 CV,EURO6,2,,50
43 200 €,PEUGEOT BOXER II phase 2,Diesel,Manuelle,11 km,2024,61 ‌,2.2,140,https://image-annonce.lacentrale.fr/480x369/E112288542_STANDARD_0.jpg?version=1683877529,France,19/03/2024,Non requis,Oui,,Blanc Icy,,4,3,6 m,,7 CV,EURO6,2,F,50
16 920 €,RENAULT CAPTUR,Diesel,Automatique,66 325 km,2016,59 ‌,1.5,90,https://image-annonce.lacentrale.fr/480x369/E112287457_STANDARD_0.jpg?version=1683886742,France,13/04/2016,Requis,Non,2,gris,,5,5,4,12 m,Moyen Coffre,5 CV,EURO5,2,B,50
16 660 €,RENAULT KANGOO II EXPRESS phase 2,Diesel,Manuelle,41 578 km,2019,28 ‌,1.5,90,https://image-annonce.lacentrale.fr/480x369/E112287592_STANDARD_0.jpg?version=1683898708,France,04/05/2019,Requis,Non,,A00,DRAP,4,3,4,28 m,,5 CV,EURO6,2,B,50
65 430 €,VOLKSWAGEN ID.5,Électrique,Automatique,7 818 km,2023,67 ‌,204,204,https://image-annonce.lacentrale.fr/480x369/E112288505_STANDARD_0.jpg?version=1683900196,France,26/09/2023,Non requis,Oui,,Bleu Denim / Toit Noir,,5,5,4,60 m,Moyen Coffre,5 CV,EURO6,0,A,50
31 030 €,TOYOTA C-HR phase 2,Hybrides,Automatique,18 167 km,2023,51 ‌,1.8,98,https://image-annonce.lacentrale.fr/480x369/E112287451_STANDARD_0.jpg?version=1683895981,France,13/09/2023,Non requis,Non,,Gris Célestine,,5,5,4,39 m,Moyen Coffre,5 CV,EURO6,1,,50
65 280 €,MERCEDES EQA,Électrique,Automatique,6 844 km,2023,72 ‌,190,190,https://image-annonce.lacentrale.fr/480x369/E112286717_STANDARD_0.jpg?version=1683894934,France,25/09/2023,Non requis,Non,,Gris montagne métallisé,,5,5,4,46 m,Petit coffre,6 CV,EURO6,0,A,50
24 620 €,PEUGEOT 208 II,Essence,Automatique,38 499 km,2020,67 ‌,1.2,130,https://image-annonce.lacentrale.fr/480x369/E112288393_STANDARD_0.jpg?version=1683898075,France,25/07/2020,Non requis,Oui,,Rouge Elixir,,5,5,4,05 m,Grand coffre,6 CV,EURO6,1,B,50
29 410 €,BMW SERIE 2 F45 ACTIVE TOURER phase 2,Essence,Automatique,31 947 km,2020,67 ‌,1.5,218,https://image-annonce.lacentrale.fr/480x369/E112288577_STANDARD_0.jpg?version=1683889175,France,18/12/2020,Non requis,Non,,Alpinweiss uni,,5,5,4,35 m,Moyen Coffre,7 CV,EURO6,1,C,50
47 360 €,VOLKSWAGEN GOLF VIII,Diesel,Automatique,8 197 km,2024,67 ‌,2,200,https://image-annonce.lacentrale.fr/480x369/E112288516_STANDARD_0.jpg?version=1683897368,France,30/01/2025,Non requis,Non,,Blanc,,5,5,4,29 m,Grand coffre,11 CV,EURO6,2,C,50
27 010 €,PEUGEOT 2008 II,Essence,Manuelle,33 475 km,2021,28 ‌,1.2,130,https://image-annonce.lacentrale.fr/480x369/E112287622_STANDARD_0.jpg?version=1683879495,France,06/06/2021,Non requis,Non,,GRIS F,DRAP,5,5,4,30 m,Moyen Coffre,6 CV,EURO6,1,C,50
49 470 €,VOLKSWAGEN ARTEON SHOOTING BRAKE phase 2,Diesel,Automatique,25 670 km,2023,67 ‌,2,150,https://image-annonce.lacentrale.fr/480x369/E112288507_STANDARD_0.jpg?version=1683895267,France,28/06/2023,Non requis,Oui,,Bleu Lapiz métallisée,,5,5,4,87 m,Grand coffre,8 CV,EURO6,2,C,50
85 960 €,MERCEDES GLC COUPE AMG,Essence,Automatique,49 717 km,2020,61 ‌,3,367,https://image-annonce.lacentrale.fr/480x369/E112288068_STANDARD_0.jpg?version=1683880936,France,08/05/2020,Non requis,Non,,Noir,,5,5,4,73 m,Grand coffre,25 CV,EURO6,1,F,51
14 720 €,RENAULT SCENIC III phase 3,Diesel,Manuelle,152 691 km,2017,57 ‌,1.6,130,https://image-annonce.lacentrale.fr/480x369/E112288131_STANDARD_0.jpg?version=1683881536,France,21/01/2018,Requis,Non,,NOIR,GRIS NOIR,5,5,4,37 m,Moyen Coffre,7 CV,EURO6,2,B,51
34 320 €,MERCEDES GLC,Diesel,Automatique,141 957 km,2018,61 ‌,2.1,220,https://image-annonce.lacentrale.fr/480x369/E112288060_STANDARD_0.jpg?version=1683887520,France,21/03/2018,Requis,Non,,Blanc polaire,,5,5,4,66 m,Moyen Coffre,9 CV,EURO6,2,C,51
40 280 €,PEUGEOT EXPERT III FOURGON,Diesel,Automatique,31 401 km,2023,59 ‌,2,179,https://image-annonce.lacentrale.fr/480x369/E112286221_STANDARD_0.jpg?version=1683890683,France,09/02/2023,Non requis,Oui,,blanc,,4,3,4,96 m,,7 CV,EURO6,2,E,51
14 360 €,CITROEN C4 II phase 2,Essence,Manuelle,101 104 km,2019,50 ‌,1.2,110,https://image-annonce.lacentrale.fr/480x369/E112287965_STANDARD_0.jpg?version=1683881264,France,21/03/2019,Requis,Non,,gris acier,,5,5,4,33 m,Grand coffre,6 CV,EURO6,1,B,51
74 640 €,MERCEDES GLC COUPE phase 2,,Automatique,25 802 km,2022,61 ‌,2,300,https://image-annonce.lacentrale.fr/480x369/E112288066_STANDARD_0.jpg?version=1683882699,France,05/08/2022,Non requis,Non,,Argent high-tech métallisé,,5,5,4,74 m,Petit coffre,11 CV,EURO6,1,A,51
46 570 €,MERCEDES GLA II,Diesel,Automatique,60 294 km,2021,41 ‌,2,200,https://image-annonce.lacentrale.fr/480x369/E112288024_STANDARD_0.jpg?version=1683895749,France,06/05/2021,Non requis,Non,,Noir cosmos métallisé,,5,5,4,41 m,Moyen Coffre,8 CV,EURO6,2,C,51
26 230 €,MERCEDES CLASSE A III phase 2,Diesel,Automatique,100 000 km,2018,76 ‌,2.1,200,https://image-annonce.lacentrale.fr/480x369/E112287272_STANDARD_0.jpg?version=1683899478,France,28/05/2018,Requis,Non,3,INC.,,5,5,4,30 m,Moyen Coffre,7 CV,EURO6,2,A,51
20 380 €,HYUNDAI I30 III SW,Diesel,Manuelle,111 288 km,2020,64 ‌,1.6,115,https://image-annonce.lacentrale.fr/480x369/E112288128_STANDARD_0.jpg?version=1683896955,France,17/08/2020,Non requis,Oui,,Micron Grey,,5,5,4,58 m,Grand coffre,6 CV,EURO6,2,B,51
48 660 €,MERCEDES CLA II,Essence,Automatique,47 703 km,2021,61 ‌,1.3,200,https://image-annonce.lacentrale.fr/480x369/E112288067_STANDARD_0.jpg?version=1683881856,France,31/08/2021,Non requis,Non,,Gris montagne magno designo nacré,,4,5,4,69 m,Grand coffre,8 CV,EURO6,1,C,51
15 240 €,HYUNDAI I20 II,Essence,Manuelle,52 268 km,2020,64 ‌,1.2,84,https://image-annonce.lacentrale.fr/480x369/E112288117_STANDARD_0.jpg?version=1683895106,France,05/01/2021,Non requis,Oui,,Blanc,,5,5,4,04 m,Grand coffre,5 CV,EURO6,1,B,51
17 380 €,TOYOTA YARIS III phase 3,Essence,Manuelle,54 780 km,2021,14 ‌,1.5,111,https://image-annonce.lacentrale.fr/480x369/E112288023_STANDARD_0.jpg?version=1683878547,France,09/07/2021,Non requis,Oui,,Blanc pur,,5,5,3,94 m,Grand coffre,6 CV,EURO6,1,C,51
28 200 €,BMW X2 F39,Diesel,Manuelle,69 182 km,2019,13 ‌,2,150,https://image-annonce.lacentrale.fr/480x369/E112288002_STANDARD_0.jpg?version=1683882699,France,24/01/2020,Non requis,Non,,Saphirschwarz metallise,(ERL1) Tissu 'Race',5,5,4,36 m,Moyen Coffre,8 CV,EURO6,2,B,51
28 610 €,MERCEDES CLASSE A III phase 2,Essence,Manuelle,119 500 km,2019,61 ‌,1.6,200,https://image-annonce.lacentrale.fr/480x369/E112288070_STANDARD_0.jpg?version=1683876754,France,08/04/2019,Requis,Non,,Gris montagne métallisé,,5,5,4,30 m,Moyen Coffre,8 CV,EURO6,1,C,51
29 860 €,MERCEDES CLASSE A IV,Diesel,Automatique,130 300 km,2021,61 ‌,2,200,https://image-annonce.lacentrale.fr/480x369/E112288065_STANDARD_0.jpg?version=1683897781,France,23/11/2021,Non requis,Non,,Bleu denim métallisé,,5,5,4,42 m,Moyen Coffre,8 CV,EURO6,2,B,51
43 880 €,JAGUAR XJ8,Essence,Automatique,81 247 km,2002,57 ‌,4,294,https://image-annonce.lacentrale.fr/480x369/E112288130_STANDARD_0.jpg?version=1683880935,France,18/08/2002,Requis,Oui,,GRIS C,BEIGE,4,5,5,02 m,Moyen Coffre,20 CV,EURO3,3,,51
17 230 €,FORD C-MAX II phase 2,Essence,Manuelle,80 955 km,2017,72 ‌,1,125,https://image-annonce.lacentrale.fr/480x369/E112286389_STANDARD_0.jpg?version=1683898407,France,08/01/2018,Requis,Non,3,gris foncé,,5,5,4,38 m,Moyen Coffre,6 CV,EURO6,1,B,52
18 130 €,PEUGEOT 3008 II,Diesel,Automatique,88 741 km,2017,72 ‌,1.6,120,https://image-annonce.lacentrale.fr/480x369/E112287436_STANDARD_0.jpg?version=1683897369,France,06/04/2017,Requis,Oui,,gris foncé,,5,5,4,37 m,Moyen Coffre,6 CV,EURO6,2,B,52
24 190 €,RENAULT MEGANE IV phase 2,Diesel,Manuelle,31 460 km,2022,54 ‌,1.5,115,https://image-annonce.lacentrale.fr/480x369/E112288717_STANDARD_0.jpg?version=1683881535,France,12/07/2022,Non requis,Non,,GRIS,,5,5,4,36 m,Grand coffre,6 CV,EURO6,2,B,52
60 300 €,BMW SERIE 5 G30,Diesel,Automatique,122 584 km,2019,67 ‌,3,400,https://image-annonce.lacentrale.fr/480x369/E112288586_STANDARD_0.jpg?version=1683897368,France,12/11/2019,Non requis,Non,,M Carbonschwarz métallisé,,4,5,4,96 m,Grand coffre,28 CV,EURO6,2,E,52
48 270 €,MERCEDES CLASSE C IV phase 2,Diesel,Automatique,46 540 km,2022,74 ‌,2,220,https://image-annonce.lacentrale.fr/480x369/E112288780_STANDARD_0.jpg?version=1683896583,France,20/12/2022,Non requis,Non,,Gris Graphite,,4,5,4,69 m,Moyen Coffre,11 CV,EURO6,2,D,52
27 470 €,BMW SERIE 2 F46 GRAN TOURER,Essence,Automatique,30 987 km,2016,95 ‌,2,220,https://image-annonce.lacentrale.fr/480x369/E112286627_STANDARD_0.jpg?version=1683893753,France,18/01/2017,Requis,Oui,,noir,,5,7,4,56 m,Grand coffre,11 CV,EURO6,1,C,52
47 480 €,MERCEDES CLA II,Diesel,Automatique,73 454 km,2020,74 ‌,2,220,https://image-annonce.lacentrale.fr/480x369/E112288778_STANDARD_0.jpg?version=1683881264,France,04/02/2020,Non requis,Non,,Gris montagne métallisé,,4,5,4,69 m,Grand coffre,10 CV,EURO6,2,B,52
69 480 €,AUDI Q4 E-TRON SPORTBACK,Électrique,Automatique,5 800 km,2023,67 ‌,170,170,https://image-annonce.lacentrale.fr/480x369/E112288628_STANDARD_0.jpg?version=1683880011,France,31/07/2023,Non requis,Oui,,Gris Typhon métallisé,,5,5,4,59 m,Moyen Coffre,5 CV,EURO6,0,A,52
24 500 €,MERCEDES CLASSE C IV,Diesel,Automatique,126 022 km,2018,74 ‌,2.1,200,https://image-annonce.lacentrale.fr/480x369/E112288787_STANDARD_0.jpg?version=1683880011,France,01/02/2019,Requis,Non,,Gris sélénite,,4,5,4,69 m,Grand coffre,7 CV,EURO6,2,B,52
15 360 €,RENAULT KANGOO II EXPRESS phase 2,Diesel,Manuelle,89 726 km,2020,72 ‌,1.5,75,https://image-annonce.lacentrale.fr/480x369/E112287690_STANDARD_0.jpg?version=1683876755,France,28/02/2020,Non requis,Oui,,blanc,,4,2,4,28 m,,5 CV,EURO6,2,B,52
32 680 €,CITROEN JUMPER II phase 2,Diesel,Manuelle,20 706 km,2020,84 ‌,2,131,https://image-annonce.lacentrale.fr/480x369/E112288747_STANDARD_0.jpg?version=1683897368,France,07/03/2020,Non requis,Oui,,BLANC BLANQUISE,,2,3,5,94 m,,7 CV,EURO6,2,E,52
39 430 €,MERCEDES CLASSE A IV,Diesel,Automatique,27 530 km,2023,59 ‌,2,180,https://image-annonce.lacentrale.fr/480x369/E112288615_STANDARD_0.jpg?version=1683897490,France,11/04/2023,Non requis,Oui,,Noir,,5,5,4,44 m,Moyen Coffre,6 CV,EURO6,2,C,52
79 180 €,VOLVO V60 II CROSS COUNTRY,Diesel,Automatique,600 km,2024,72 ‌,2,197,https://image-annonce.lacentrale.fr/480x369/E112288695_STANDARD_0.jpg?version=1683887877,France,20/09/2024,Non requis,Oui,,Gris Pebble Métallisé,,5,5,4,78 m,Grand coffre,11 CV,EURO6,2,D,52
20 500 €,PEUGEOT 208 II,Essence,Manuelle,11 312 km,2023,03 ‌,1.2,75,https://image-annonce.lacentrale.fr/480x369/E112288689_STANDARD_0.jpg?version=1683900665,France,16/01/2024,Non requis,Non,,GRIS C,,5,5,4,05 m,Moyen Coffre,4 CV,EURO6,1,B,52
38 820 €,MERCEDES CLA II,Diesel,Automatique,50 504 km,2020,74 ‌,1.5,180,https://image-annonce.lacentrale.fr/480x369/E112288777_STANDARD_0.jpg?version=1683879107,France,22/01/2021,Non requis,Oui,,Gris montagne métallisé,,4,5,4,69 m,Grand coffre,6 CV,EURO6,2,A,52
17 980 €,PEUGEOT 208 II,Essence,Manuelle,19 283 km,2021,84 ‌,1.2,75,https://image-annonce.lacentrale.fr/480x369/E112288737_STANDARD_0.jpg?version=1683884272,France,08/12/2021,Non requis,Oui,,BLANC BANQUISE,,5,5,4,05 m,Grand coffre,4 CV,EURO6,1,C,52
28 980 €,AUDI Q2,Diesel,Automatique,83 246 km,2021,84 ‌,2,150,https://image-annonce.lacentrale.fr/480x369/E112286423_STANDARD_0.jpg?version=1683889513,France,29/06/2021,Non requis,Oui,,blanc,,5,5,4,19 m,Petit coffre,8 CV,EURO6,2,B,53
87 090 €,MERCEDES CLASSE A IV AMG,Essence,Automatique,20 238 km,2021,74 ‌,2,421,https://image-annonce.lacentrale.fr/480x369/E112288789_STANDARD_0.jpg?version=1683886492,France,26/07/2021,Non requis,Non,,Blanc polaire,,5,5,4,45 m,Grand coffre,31 CV,EURO6,1,E,53
37 780 €,VOLKSWAGEN TIGUAN II phase 2,Essence,Automatique,46 450 km,2022,24 ‌,1.5,150,https://image-annonce.lacentrale.fr/480x369/E112285029_STANDARD_0.jpg?version=1683880935,France,21/06/2022,Non requis,Oui,,Deep Black Perleffekt,Titanschwarz/Titanschwarz/Schwarz/ Storm Grey,5,5,4,51 m,Moyen Coffre,8 CV,EURO6,1,E,53
